Date,Crop_Name,State,District,Market_Name,Season,Previous_Day_Price,Market_Arrival_Quantity,Rainfall,Temperature_Max,Temperature_Min,Humidity,Festival_Flag,Price,Previous_7_Day_Avg_Price,Previous_30_Day_Avg_Price,Price_Trend,Production_Quantity,Yield_Per_Hectare,Stock_Available,Soil_Moisture,Demand_Index,Number_of_Buyers,Min_Price,Max_Price,Modal_Price,Fuel_Price,Transportation_Cost,Inflation_Rate,Harvest_Season_Flag,Week_Number
2021-10-22,Tomato,Haryana,Karnal,Karnal_Mandi,Kharif,2821.22,1123.1,20.3,37.2,20.1,30.3,0,2879.25,2652.172144389092,3036.0171180520265,Stable,21534.592312345052,6.909139065630507,2768.441806730383,81.84863830488665,97.3468128981686,60,2497.0791834176853,3026.1933354505522,2879.25,93.35100911184584,1398.106154550229,4.314884685445401,1,42
2021-07-24,Wheat,Haryana,Kurukshetra,Pehowa,Kharif,2514.3,4153.9,188.2,32.2,25.4,81.9,0,2543.25,2617.754534688872,2506.319588811415,Decreasing,41529.34905157149,7.3906290320602555,9696.20277395349,67.39674900850876,77.35086639314434,21,2104.5962472998513,2730.3348083775077,2543.25,93.19686746801484,750.5386834122863,6.998281526951391,1,29
2022-08-11,Tomato,Haryana,Kurukshetra,Shahabad,Kharif,2952.38,1994.2,298.4,33.0,27.6,74.6,0,3015.37,3288.6665169876255,3228.0635699173386,Decreasing,8227.986529864036,5.014417857438503,5592.196073011815,78.56392874200463,58.58503877598996,14,2485.4916881505465,3402.900636467079,3015.37,108.0323527021722,854.1913185234661,5.040382427867236,0,32
2024-06-21,Tomato,Haryana,Kurukshetra,Pehowa,Kharif,2676.38,1406.2,153.8,31.7,24.7,91.3,0,2647.79,2760.293850028707,2769.4642736412998,Stable,21010.151293803807,2.665200506164769,4373.035575752632,23.62087888835733,119.61258414566606,67,2300.687070919323,3021.1029382801903,2647.79,102.9332240471682,873.7438375603666,4.817246573546647,1,25
2023-07-10,Tomato,Haryana,Karnal,Karnal_Mandi,Kharif,3334.84,3826.1,291.3,32.8,25.6,84.5,0,3260.44,3008.2483915412645,2976.52712198543,Increasing,33065.97564896746,7.270002448530473,9959.938513649731,33.22396376656471,139.3457129778717,45,2819.7868588226074,3827.6244884210187,3260.44,99.26068971376098,946.5181804244362,4.608219622689551,0,28
2025-05-25,Onion,Madhya Pradesh,Indore,Depalpur,Zaid,2224.24,3685.8,0.3,39.9,26.4,32.8,0,2142.67,2258.764782495649,2105.427855028049,Stable,1939.2083850144013,5.588672624672127,9720.885808862658,68.41823044174731,117.78362602609789,43,1787.6311900041408,2260.059997053897,2142.67,109.4019381432312,207.4534312859716,7.1321800900297285,1,21
2025-08-31,Onion,Punjab,Jalandhar,Adampur,Kharif,2492.14,1074.8,123.3,34.2,26.8,75.2,0,2459.73,2319.345033601461,2761.616916611789,Decreasing,20920.083966622944,6.092179765867146,6551.973951845433,53.78647139061745,84.82429534883532,86,1985.35972391554,2904.1668389376077,2459.73,104.9861354031975,1952.6745716705034,5.600117128933915,1,35
2025-05-02,Tomato,Punjab,Ludhiana,Sahnewal,Zaid,2792.49,243.7,17.1,35.9,22.4,39.7,0,2720.88,2983.19163660099,2592.6603693150732,Decreasing,24527.970528466107,5.100245268275232,5390.649591939844,49.28219550333473,66.35453341742232,16,2437.604474642299,3151.989213751647,2720.88,94.86084064961493,1174.7965287483048,6.160091605668427,1,18
2021-10-27,Tomato,Punjab,Patiala,Rajpura,Kharif,2897.63,4480.9,8.3,38.1,30.0,37.7,0,2903.8,2681.8666039377295,2935.249224228206,Stable,22056.27122091436,7.887070801997413,2159.3614441538402,54.92580170397359,134.44148301979277,99,2682.7966915755096,3308.0328824864405,2903.8,100.404389101441,210.1606658281042,4.9912128523139625,0,43
2021-10-01,Onion,Madhya Pradesh,Bhopal,Bhopal_Mandi,Kharif,3083.29,4013.5,34.3,38.3,24.5,46.5,0,3018.72,3210.3236692576775,3366.9840398722636,Decreasing,27610.331822234955,9.636404131762552,3592.665323606501,18.63586082766238,60.88296155469992,10,2658.719150265775,3442.529582901018,3018.72,96.54824292344225,1790.159548071019,6.958324296293354,1,39
2023-09-16,Rice,Punjab,Amritsar,Majitha,Kharif,2200.43,4543.9,243.5,31.6,24.0,91.4,0,2188.94,2273.3800865452486,2085.589190835018,Decreasing,30556.761986879403,9.498600009493018,5589.386250818062,22.50260131525866,136.90103772375136,45,1770.6131694286437,2405.322310566169,2188.94,100.64241471974427,1379.865599702031,6.660097691071728,1,37
2025-04-27,Tomato,Haryana,Karnal,Taraori,Rabi,2898.25,324.6,0.7,41.0,21.4,48.0,0,2979.93,3085.6630040231607,3224.6520487065086,Decreasing,22971.708149131035,1.7266655666568098,9166.178628563799,11.946673248538042,128.1215882200232,96,2812.451178645454,3395.867537398003,2979.93,104.4920259331597,188.41972412723368,7.720492306460033,1,17
2021-06-24,Potato,Madhya Pradesh,Bhopal,Berasia,Kharif,1230.62,2557.9,160.2,34.1,24.9,90.8,0,1263.37,1215.8229307414795,1301.2931231756556,Stable,41480.386754800835,4.4357903848172855,5647.853636523113,47.98167254801143,63.451306742080675,95,1116.9287613718739,1503.8183723237494,1263.37,98.62238852583809,1947.9855434647461,7.634274039804951,0,25
2022-09-15,Wheat,Madhya Pradesh,Bhopal,Berasia,Kharif,2060.02,1907.1,271.7,30.9,27.5,83.7,0,2141.21,2305.200405254566,2229.006139493972,Decreasing,29611.956181019796,3.9978833323395255,9205.539953160001,10.005661112172461,56.09492555130397,15,1983.290940396192,2426.431903114109,2141.21,96.46797378328517,225.9352101857944,5.365796568350666,0,37
2025-03-13,Tomato,Maharashtra,Pune,Khed,Rabi,2953.98,1727.8,19.7,42.8,27.8,40.7,0,2935.89,2856.6140128442285,2656.767049544886,Stable,13078.071475928216,3.768237424745262,983.4486842312804,16.221708836703197,138.4194348731013,65,2584.28482360297,3334.3361033035894,2935.89,106.79425615536537,1239.8840123455414,6.914953448151271,1,11
2022-12-05,Wheat,Madhya Pradesh,Ujjain,Barnagar,Rabi,1977.9,3813.9,11.5,26.7,13.6,55.9,0,2025.2,1868.1200473738102,2207.5033674205456,Increasing,40326.080498153926,3.9713637159374704,7755.662936239637,48.48420928512218,66.26605552344675,79,1894.0987577864742,2311.1280858294094,2025.2,104.55689658688348,910.3642797510852,4.61039258281737,0,49
2023-03-10,Tomato,Maharashtra,Nagpur,Kalmeshwar,Rabi,2469.41,4867.0,20.4,42.8,22.4,60.0,0,2518.87,2673.003481709309,2338.4739716838203,Stable,21247.882767034553,5.428401117804016,1937.1902648117618,87.81599770546491,99.33792503640072,28,2198.8486811514813,2930.12974734401,2518.87,97.64222334137104,1414.4934874214414,6.115719009479504,1,10
2024-12-06,Rice,Uttar Pradesh,Agra,Fatehabad,Rabi,2192.83,1786.1,19.9,20.1,7.3,42.6,0,2227.34,2167.8337846947898,2075.7023918383484,Increasing,29708.994367688127,7.925351981212984,8158.219701628607,24.04671575128794,137.863590779448,10,1914.0323532203518,2499.937999600015,2227.34,98.41093265923813,1364.6136268617593,4.49241209302183,1,49
2024-01-17,Potato,Maharashtra,Nagpur,Nagpur_Mandi,Rabi,1285.08,4420.4,14.7,24.2,11.1,65.2,1,1359.92,1247.1539320441518,1288.7938504042959,Decreasing,42775.855644823394,9.301509127443454,3777.3614764936387,54.91425280182157,87.94472518992887,44,1276.6333247141633,1569.2462869095725,1359.92,100.40288481173467,1936.3463495312774,5.288757312571688,1,3
2021-06-20,Wheat,Haryana,Karnal,Karnal_Mandi,Kharif,2342.76,551.9,293.1,32.3,26.4,93.3,0,2420.56,2305.588817460538,2333.7768282882544,Increasing,17093.444309321952,8.850255742164887,7908.10445293312,80.86595591999644,141.26877056768745,94,2142.362160795892,2723.3367219079173,2420.56,93.21225903878687,305.85834930284057,6.384064484440634,1,24
2026-02-19,Rice,Maharashtra,Pune,Khed,Rabi,2319.74,533.1,4.5,28.7,12.5,49.6,0,2291.26,2223.3012746584823,2047.1068449748511,Decreasing,12215.200193673236,5.975129836567908,4784.091561108147,36.321711878091804,135.23888805441493,81,2062.390675982571,2628.949645301258,2291.26,104.2102322012837,1858.7805949203428,6.36102274407172,0,8
2021-05-03,Wheat,Haryana,Karnal,Taraori,Zaid,2091.19,2885.7,38.9,35.0,26.1,37.6,0,2139.02,1948.110525592556,1890.663750099626,Decreasing,14059.1173991139,3.399356213052134,2521.7516017957773,43.05931490131266,100.711986713488,59,1807.6556038167414,2433.244459979893,2139.02,102.47555881552792,1603.8272480820324,7.906417530543207,0,18
2021-08-31,Wheat,Haryana,Kurukshetra,Thanesar,Kharif,2122.79,4445.6,166.2,30.5,26.1,71.5,0,2105.18,2096.105322905676,2030.8411084006502,Decreasing,12080.481011111882,8.027663282218901,6791.176613355792,68.74287174233714,86.80157776387246,59,1824.4905429636053,2489.465670406843,2105.18,102.93491327910917,624.7849459472375,4.049672905670146,0,35
2023-11-27,Wheat,Haryana,Ambala,Naraingarh,Rabi,2575.04,2239.3,5.3,24.7,7.8,56.1,0,2579.32,2733.875027688877,2320.8510473012007,Stable,33770.01179864699,6.238881956883502,7984.60895306783,84.41413989830231,54.69728960325049,43,2399.1889313860984,2862.4267726139265,2579.32,92.54281893107878,317.16400489428514,6.677537500334267,0,48
2021-06-08,Tomato,Punjab,Ludhiana,Khanna,Kharif,2621.38,2592.8,294.5,30.9,27.8,77.8,0,2635.26,2813.954970551917,2731.947643954854,Stable,2406.858067382188,5.532051888958347,168.62202817360156,66.29386716630935,128.34341967101335,79,2134.5690281397106,2841.2542016496527,2635.26,109.42335016790038,1216.0858527125317,4.277169203634852,1,23
2024-05-06,Potato,Punjab,Ludhiana,Sahnewal,Zaid,1226.83,2679.4,45.0,35.4,27.7,55.1,0,1175.8,1242.8762672701096,1168.8123839279344,Increasing,16299.413099724368,9.349620235918705,827.3942373687693,54.80777138760422,141.77969690829624,16,1048.9939101432874,1371.4842504070332,1175.8,107.7919053787489,1768.8260272286307,6.717298199312236,1,19
2025-08-15,Onion,Punjab,Patiala,Samana,Kharif,2527.08,820.7,197.5,30.4,25.7,81.0,0,2591.74,2804.933369433363,2234.6943354815985,Stable,21792.066332399678,8.29543105356079,9059.22890404317,12.598300979739054,117.27516190026788,3,2096.390670947242,3035.1993191873867,2591.74,109.8393908735013,896.1144552009521,5.860253874787935,1,33
2025-09-11,Potato,Uttar Pradesh,Meerut,Sardhana,Kharif,966.35,1149.7,140.5,33.5,27.0,75.1,0,1025.11,990.1912554523881,1106.8602726867389,Increasing,29487.484161111395,4.502853130329484,1742.2214688445893,42.80956597683935,131.09432653384374,36,949.3038172651598,1081.630284570748,1025.11,101.81354780696638,1037.2460766432805,4.840376588163053,1,37
2024-01-25,Rice,Haryana,Kurukshetra,Shahabad,Rabi,2434.34,2119.1,9.5,17.8,5.6,44.3,0,2432.83,2577.7082969012667,2746.9847553274267,Stable,33076.9324391837,4.996117934692041,994.5491061123244,14.698849462339814,94.36775448058349,41,2191.070374631421,2866.441047958896,2432.83,96.12716542663792,1499.7445555408578,6.285518523640107,0,4
2024-05-15,Onion,Madhya Pradesh,Bhopal,Bhopal_Mandi,Zaid,2561.96,1132.8,41.7,35.6,26.8,53.4,0,2472.15,2667.14581551516,2696.92567563862,Stable,36638.23137064569,1.1064362717748062,1111.9667443172657,46.44954722660933,147.67588368307952,49,2206.515421210799,2790.401318950593,2472.15,109.67963739628274,1119.8424661977763,5.664250381692899,1,20
2021-08-15,Wheat,Punjab,Jalandhar,Adampur,Kharif,2512.68,2438.2,254.9,33.6,24.3,79.8,0,2432.06,2596.8616378743213,2083.7969189765254,Increasing,25980.629616859795,1.428901259083149,5505.0130343692845,34.31789623163904,86.65733813852594,32,1965.6586419988425,2776.1569022117837,2432.06,94.26698525597332,1152.2729730173783,5.161384191305679,0,32
2024-09-19,Tomato,Punjab,Jalandhar,Adampur,Kharif,3504.37,337.2,140.0,32.0,25.1,84.5,0,3597.93,3721.4205531082025,3279.0421500869875,Increasing,42924.4195580768,4.495977884440475,8593.493448840742,51.333678034104615,101.06291875813119,37,3119.8504864204665,4297.932713815143,3597.93,95.54025178158034,1678.9929864948604,5.860606934173024,0,38
2022-02-10,Onion,Madhya Pradesh,Bhopal,Bhopal_Mandi,Rabi,2756.21,1237.0,19.6,21.5,13.0,68.0,0,2800.26,2522.544950424284,2940.2542356018,Decreasing,11515.9517645673,7.356533205422255,8154.5576175043825,12.130635927432492,127.95286174585713,59,2443.7384292968804,3243.222107922836,2800.26,105.5351513149065,1674.118079172616,4.952820177269483,0,6
2023-01-11,Onion,Uttar Pradesh,Agra,Agra_Mandi,Rabi,2830.11,131.2,5.7,25.0,10.9,67.2,0,2889.37,2731.1920457724095,2782.069659150468,Stable,34336.41003936521,3.290268956345378,2373.800515205745,84.6069144159778,130.96979073875093,83,2622.405703689746,3157.327764556362,2889.37,108.19882229895171,547.5915372673892,5.912921363101306,0,2
2025-12-02,Onion,Punjab,Ludhiana,Sahnewal,Rabi,3540.79,2752.0,10.7,20.8,5.1,64.1,0,3638.56,3713.0458648803883,3484.9901904303674,Increasing,15067.362132975324,1.9932232677986976,360.0465537564081,27.930295209194327,136.96268735452904,89,2992.5589841023166,3830.670044219638,3638.56,106.6408940098917,657.9000565053012,7.249669427360278,1,49
2022-01-21,Wheat,Madhya Pradesh,Indore,Mhow,Rabi,2505.88,1318.2,7.0,28.5,13.5,57.7,0,2499.82,2714.9280889279244,2845.5922161950825,Increasing,44623.55061868585,1.4297215450974146,4430.270804555842,15.44521408608964,117.49826445621707,75,2352.7702592115857,2826.1115604036463,2499.82,95.89201068639085,381.71531945943127,5.728700038577744,1,3
2021-01-12,Tomato,Uttar Pradesh,Lucknow,Mohanlalganj,Rabi,2530.67,4821.4,5.1,16.7,10.3,63.0,0,2629.17,2621.848577205175,2720.9257591037476,Stable,17695.095611891793,9.203492986816642,9098.769796437002,89.42046121377973,62.74404452032384,44,2320.1614199199034,2796.9641268082996,2629.17,95.58269785010263,1985.5414238080166,5.539768837762223,1,2
2023-11-13,Onion,Punjab,Patiala,Samana,Rabi,3032.04,4288.6,4.3,15.1,7.8,57.9,0,3074.0,2777.459392105027,3161.022063828922,Stable,30646.52585946519,7.752008852204959,8912.528487476357,33.45317586181884,110.63151156644449,43,2666.454444200845,3338.8065206202336,3074.0,104.46982824049425,1978.5597736391992,6.861918685964449,1,46
2023-02-01,Rice,Haryana,Kurukshetra,Thanesar,Rabi,3143.43,368.0,13.1,24.4,7.8,47.1,1,3070.43,3212.9015362435002,3117.4348757117814,Decreasing,25709.374998549087,1.1073661160371198,6213.060237788112,39.43181663554989,105.70538057933649,24,2873.2958566166385,3627.031702685486,3070.43,105.47821921056322,1320.811272956571,5.0788120522776685,1,5
2022-12-23,Rice,Haryana,Kurukshetra,Thanesar,Rabi,2564.87,2933.8,5.3,24.2,9.5,44.0,0,2516.71,2611.0386746585045,2312.166119986082,Decreasing,49036.291426533855,8.585416782344495,3899.638873078944,64.77057986018605,65.24830559404373,37,2112.379591319315,2889.0852980848003,2516.71,90.73356935266192,200.2549401498745,4.499520746890398,0,51
2024-11-03,Potato,Uttar Pradesh,Kanpur,Chaubepur,Rabi,1183.87,1555.5,17.5,24.7,6.2,59.4,0,1085.87,1044.8584028546504,927.8127785136386,Increasing,44106.7431086479,2.3508600031393407,4120.153386496677,15.646362228943849,122.92172633823304,81,952.8958895270362,1232.706387982705,1085.87,101.17168076117136,948.580906285995,6.936394430570591,1,44
2022-05-26,Wheat,Uttar Pradesh,Agra,Kheragarh,Zaid,2857.85,1375.3,33.4,44.4,28.7,34.7,0,2766.73,2666.334085476926,2425.744345439159,Decreasing,28563.734897609706,1.5126574727185131,3266.262483228593,52.26699555415756,98.63102180333448,25,2566.3833520008443,3139.9221123414295,2766.73,103.36828966070652,918.6218369263408,4.92879273204999,1,21
2021-04-24,Potato,Madhya Pradesh,Indore,Indore_Mandi,Rabi,905.0,4548.6,31.8,41.8,24.5,31.3,0,968.58,1031.6362757873142,1058.2398556541946,Decreasing,39391.93906669047,4.3289226802366585,8980.951840913425,22.56045054604649,57.477926901062645,47,872.2790985444472,1060.9377354763974,968.58,105.61049321803387,1863.1616738424102,5.4739433947961835,0,16
2025-03-05,Rice,Punjab,Ludhiana,Sahnewal,Rabi,2612.79,2272.6,36.9,36.0,23.1,52.9,0,2711.76,2799.075987328562,2918.8487975293633,Increasing,49479.397139628825,7.5928176140513495,6781.574294938531,11.896255170794925,76.31175737135966,10,2446.668050942801,2849.682281360456,2711.76,106.38922230826901,836.0102793176144,7.1795804542603054,0,10
2024-10-11,Rice,Madhya Pradesh,Bhopal,Berasia,Kharif,1981.13,1070.7,16.1,36.8,26.6,44.6,0,2029.56,2084.8769361324917,2199.583259792174,Stable,41726.15611398813,1.032238921217831,6798.9577135103855,33.58556721502724,129.8389956052665,7,1764.9061937006743,2380.112344514687,2029.56,106.25788613203007,1085.2034557448746,4.629241645589326,0,41
2022-12-10,Tomato,Uttar Pradesh,Lucknow,Lucknow_Mandi,Rabi,3020.87,4201.1,8.0,24.5,5.1,43.6,0,3006.74,2846.416590406661,2587.3494456524068,Stable,47688.28836494794,8.418858880869127,3352.190383175935,44.661433541292965,57.00011515672341,34,2628.3769228246188,3553.619884846885,3006.74,108.30124530329141,529.7984049883696,6.785875540396918,0,49
2022-12-09,Onion,Haryana,Kurukshetra,Shahabad,Rabi,3744.47,4908.2,5.5,21.6,5.6,62.6,0,3719.71,3817.167874920793,3940.1847272142813,Stable,1675.1233096896854,2.3361420053313124,3144.5615282814124,54.768622671480394,132.75079501007576,18,3081.360225925252,4362.311987008389,3719.71,102.08009460369466,725.6561575550904,4.075043897644294,0,49
2022-03-03,Wheat,Haryana,Kurukshetra,Shahabad,Rabi,2052.93,3342.1,2.4,39.5,21.7,38.8,0,2110.5,2246.0077927623065,2069.7692226800887,Stable,4935.236134325276,5.490103259726086,659.1029753424683,37.25793527709256,114.29409802390761,82,1846.9881903422022,2275.6230650019756,2110.5,96.99664531484488,964.9216093788474,4.067628565821778,0,9
2023-12-08,Potato,Uttar Pradesh,Lucknow,Mohanlalganj,Rabi,977.88,1558.8,18.5,24.1,11.8,65.2,0,1025.79,1004.4468127218638,1144.7996922306957,Increasing,42260.82174289673,1.292650665849671,5003.122853609915,33.407109013613095,122.25370208820698,76,913.6683071898048,1160.3747047080092,1025.79,92.18018751931558,1478.6361667297729,5.026212928056106,1,49
2021-07-12,Tomato,Uttar Pradesh,Lucknow,Lucknow_Mandi,Kharif,3081.4,2812.6,176.7,31.4,26.6,78.9,0,3124.96,3398.285310515535,2781.3203270829467,Decreasing,22636.010940096905,6.119386685652561,5669.064177166453,26.34763487987005,56.787092148711835,3,2579.9944086915943,3352.765627164607,3124.96,98.16028517855236,1023.5109690865959,4.100822179921455,0,28
2023-10-14,Rice,Haryana,Karnal,Gharaunda,Kharif,2290.43,960.5,32.5,36.2,24.7,52.7,0,2249.85,2455.3178350002217,1957.0784663091115,Decreasing,44063.69046074979,4.889103260562039,9466.110454993039,89.18317750022052,81.14124687275874,66,1919.268748421087,2530.959511727032,2249.85,98.1172904046063,645.1544345071524,7.237562112627087,1,41
2025-12-17,Potato,Maharashtra,Ahmednagar,Ahmednagar_Mandi,Rabi,1183.84,747.5,17.7,21.2,15.2,54.1,0,1283.27,1233.3520208585087,1348.8008441257314,Decreasing,25470.782142218308,1.1868119486253759,803.0986918668833,50.439289653655194,63.610911222639885,7,1143.04579256606,1358.497900066595,1283.27,93.18018654739309,238.75534109375042,4.3328690484521655,1,51
2023-10-17,Wheat,Madhya Pradesh,Ujjain,Mahidpur,Kharif,2455.7,1478.8,31.6,35.6,24.9,42.1,0,2543.77,2456.1712327100113,2503.816346335404,Stable,20431.123772763203,9.403921124109775,3760.2026776114444,35.82360911688161,67.97333381295252,19,2132.4881910046097,2718.8091096553876,2543.77,106.52019164460532,520.6060955808919,6.493323856265084,1,42
2021-05-22,Onion,Maharashtra,Ahmednagar,Kopargaon,Zaid,2293.76,2153.3,41.7,39.6,28.1,40.8,0,2346.33,2306.3581840614534,2478.2183380566294,Increasing,3196.6570312315007,4.920349942635715,6408.016964305398,75.65053235143581,147.29158028584212,2,2095.7034347957374,2708.317877523224,2346.33,102.97593507609905,1113.4636913178456,6.898810020106449,1,20
2021-08-18,Tomato,Maharashtra,Nagpur,Katol,Kharif,3617.97,2198.5,186.8,34.7,25.9,78.0,1,3610.39,3372.7955107302046,3673.4616011041107,Stable,10707.890999475087,4.284274460350409,2785.485870869158,84.07689628046468,82.85899354210397,48,2981.8000512619337,3865.987903269232,3610.39,98.69971614931377,1628.833997860848,5.12676285594878,1,33
2024-11-02,Onion,Madhya Pradesh,Ujjain,Ujjain_Mandi,Rabi,3165.96,1541.7,0.7,29.5,12.1,62.9,0,3249.78,2993.687035199369,3733.0323050905886,Decreasing,29628.393336961388,8.953527088386554,9188.403312851524,65.8372899454502,132.04794318326077,75,2639.121759810583,3545.871086214433,3249.78,101.24416433548221,1396.1344290405216,6.574246223361458,1,44
2025-11-08,Tomato,Madhya Pradesh,Bhopal,Berasia,Rabi,3188.81,101.9,4.6,21.1,17.0,57.3,0,3124.85,3348.2688706914496,3028.178965198502,Stable,33092.61571630604,1.9068963973268582,7827.232375555385,69.24697965703709,122.42759222299016,51,2898.683411891754,3705.5090599699456,3124.85,103.29642765026493,166.00898825983566,7.219553814129939,1,45
2022-09-02,Onion,Uttar Pradesh,Lucknow,Mohanlalganj,Kharif,2690.41,3857.5,271.6,32.7,27.4,77.6,0,2611.97,2834.4838795148844,2860.312328531757,Increasing,36228.73685612471,8.385946711928504,2461.4820981901644,73.84900500696605,132.23211999551305,71,2470.9936436968305,2846.647783886449,2611.97,101.74607347614145,1211.113538459511,6.6473994226225965,0,35
2021-12-13,Tomato,Madhya Pradesh,Ujjain,Barnagar,Rabi,2584.54,3771.5,9.2,23.1,13.9,50.0,0,2671.3,2660.2431315104564,2652.6920506168253,Stable,1823.8746006143479,8.537738909595763,6260.431922414878,81.66329337409587,65.79261185477618,5,2278.2920808991194,3142.61525327207,2671.3,109.20451782096762,775.295956087341,6.83913300475538,0,50
2022-08-25,Tomato,Punjab,Jalandhar,Nakodar,Kharif,3449.37,2711.7,257.2,30.9,27.5,78.4,0,3447.01,3176.147728760879,3815.41808750391,Increasing,7959.594275169641,1.2051176453457513,1087.2090314850575,60.58094670437987,97.30417521635519,35,3042.247388727728,3858.447238624788,3447.01,108.41595440493717,178.83875736405088,4.6025683743266255,0,34
2022-05-21,Tomato,Madhya Pradesh,Bhopal,Bhopal_Mandi,Zaid,3295.51,2260.0,49.7,41.2,24.8,32.0,0,3311.94,3259.448233720179,3757.707184026216,Stable,33175.90152945846,5.204462135560528,1669.688039656492,81.77691380780797,115.46747316431068,62,2812.1490165485975,3557.1428218886376,3311.94,109.64030069024332,1342.9215346453952,7.656555750422783,1,20
2025-09-05,Potato,Punjab,Jalandhar,Jalandhar_City,Kharif,1140.75,4323.4,255.9,34.0,26.6,91.5,0,1120.22,1169.7782797427278,1262.992874535736,Stable,41322.002950349495,8.179721001665598,4833.171317049184,16.387059024975272,66.47171048739433,97,1033.5205074864984,1225.4157503209965,1120.22,106.88615262342265,1581.7303670940398,5.1795153672521606,0,36
2025-11-28,Potato,Uttar Pradesh,Lucknow,Malihabad,Rabi,1304.92,1033.7,17.4,22.7,10.2,63.5,0,1292.76,1303.5811732690888,1272.39880022253,Stable,36322.84879003773,6.026294363778774,2298.7899497028407,78.73232576668948,64.80136641088127,93,1203.9231587542104,1483.298567036703,1292.76,98.25283239881321,498.3185860787249,6.794325140750461,0,48
